iter	Passed	Remaining
0	148	148124
1	149	74471
2	150	49889
3	151	37605
4	151	30213
5	152	25293
6	153	21820
7	154	19177
8	155	17133
9	156	15490
10	157	14151
11	158	13041
12	159	12108
13	160	11293
14	161	10590
15	162	9971
16	163	9428
17	163	8943
18	164	8510
19	165	8119
20	166	7757
21	167	7433
22	167	7133
23	168	6860
24	169	6608
25	170	6381
26	171	6174
27	172	5981
28	173	5798
29	174	5643
30	175	5480
31	176	5325
32	176	5182
33	177	5051
34	178	4921
35	179	4800
36	179	4682
37	180	4571
38	181	4464
39	181	4364
40	182	4269
41	183	4181
42	183	4094
43	184	4009
44	185	3932
45	186	3859
46	186	3785
47	187	3715
48	188	3652
49	189	3597
50	190	3539
51	190	3481
52	191	3426
53	192	3373
54	193	3322
55	194	3272
56	194	3224
57	195	3177
58	196	3131
59	197	3087
60	197	3043
61	198	3001
62	199	2960
63	199	2922
64	200	2884
65	201	2848
66	202	2815
67	203	2782
68	203	2751
69	204	2720
70	205	2691
71	206	2662
72	207	2634
73	208	2608
74	209	2582
75	210	2557
76	211	2532
77	212	2508
78	213	2483
79	213	2459
80	214	2435
81	215	2412
82	215	2385
83	216	2364
84	217	2342
85	218	2321
86	219	2300
87	219	2279
88	220	2259
89	221	2241
90	222	2222
91	223	2203
92	224	2184
93	224	2166
94	225	2148
95	226	2131
96	227	2115
97	228	2098
98	228	2082
99	229	2066
100	230	2050
101	231	2034
102	231	2018
103	232	2003
104	233	1989
105	233	1973
106	234	1957
107	235	1944
108	236	1931
109	237	1917
110	237	1904
111	238	1891
112	239	1879
113	240	1866
114	240	1853
115	241	1840
116	242	1826
117	242	1814
118	243	1802
119	244	1790
120	244	1778
121	245	1765
122	246	1754
123	246	1743
124	247	1731
125	247	1719
126	248	1707
127	249	1696
128	249	1686
129	250	1676
130	251	1666
131	252	1657
132	252	1647
133	253	1638
134	254	1629
135	254	1619
136	255	1609
137	256	1599
138	256	1589
139	257	1580
140	258	1572
141	258	1562
142	259	1553
143	259	1544
144	260	1536
145	261	1527
146	261	1519
147	262	1511
148	263	1503
149	263	1495
150	264	1487
151	265	1480
152	265	1472
153	266	1464
154	267	1457
155	267	1449
156	268	1441
157	269	1434
158	269	1427
159	270	1421
160	271	1413
161	271	1406
162	272	1400
163	273	1394
164	274	1387
165	274	1381
166	275	1375
167	276	1369
168	277	1364
169	278	1357
170	278	1351
171	279	1345
172	280	1340
173	280	1333
174	281	1327
175	282	1322
176	283	1316
177	283	1311
178	284	1305
179	285	1299
180	285	1293
181	286	1287
182	287	1282
183	287	1276
184	288	1270
185	289	1266
186	290	1261
187	290	1256
188	291	1251
189	292	1246
190	292	1240
191	293	1235
192	294	1229
193	294	1224
194	295	1220
195	296	1215
196	297	1210
197	297	1206
198	298	1201
199	299	1196
200	300	1192
201	300	1188
202	301	1183
203	302	1179
204	303	1175
205	304	1171
206	304	1167
207	305	1163
208	306	1158
209	306	1154
210	307	1149
211	308	1145
212	308	1141
213	309	1137
214	310	1133
215	311	1129
216	311	1125
217	312	1121
218	313	1116
219	313	1112
220	314	1109
221	315	1106
222	316	1102
223	317	1098
224	317	1094
225	318	1091
226	319	1087
227	319	1083
228	320	1079
229	321	1076
230	322	1072
231	322	1068
232	323	1065
233	324	1061
234	324	1057
235	325	1053
236	326	1050
237	326	1046
238	327	1042
239	328	1039
240	328	1035
241	329	1032
242	330	1029
243	331	1025
244	331	1022
245	332	1019
246	333	1016
247	334	1013
248	334	1009
249	335	1006
250	335	1002
251	336	998
252	337	995
253	338	992
254	338	989
255	339	986
256	340	983
257	340	980
258	341	977
259	342	974
260	342	970
261	343	967
262	344	964
263	344	961
264	345	958
265	346	955
266	346	952
267	347	949
268	348	946
269	348	943
270	349	940
271	350	937
272	350	933
273	351	930
274	352	928
275	352	925
276	353	922
277	354	919
278	354	916
279	355	913
280	355	910
281	356	907
282	357	904
283	357	901
284	358	899
285	359	896
286	359	894
287	360	891
288	361	888
289	362	886
290	362	883
291	363	880
292	363	878
293	364	875
294	365	873
295	366	870
296	366	868
297	367	865
298	368	863
299	368	860
300	369	857
301	370	855
302	370	852
303	371	850
304	372	847
305	372	845
306	373	842
307	373	840
308	374	837
309	375	835
310	376	833
311	376	830
312	377	828
313	378	826
314	379	824
315	379	822
316	380	820
317	381	818
318	382	815
319	382	813
320	383	811
321	384	809
322	385	807
323	385	804
324	386	802
325	387	800
326	387	798
327	388	796
328	389	794
329	390	792
330	391	790
331	391	788
332	392	786
333	393	784
334	393	781
335	394	779
336	395	777
337	396	775
338	396	773
339	397	771
340	398	769
341	398	766
342	399	764
343	399	762
344	400	760
345	401	758
346	401	755
347	402	753
348	403	751
349	403	749
350	404	747
351	405	745
352	405	743
353	406	741
354	407	739
355	407	737
356	408	735
357	409	733
358	409	732
359	410	730
360	411	728
361	412	726
362	412	724
363	413	722
364	414	720
365	414	718
366	415	716
367	416	714
368	416	713
369	417	711
370	418	709
371	419	707
372	419	705
373	420	703
374	420	701
375	421	699
376	422	697
377	422	695
378	423	693
379	424	691
380	424	690
381	425	688
382	426	686
383	426	684
384	427	682
385	428	681
386	428	679
387	429	677
388	430	675
389	430	674
390	431	672
391	432	670
392	432	668
393	433	667
394	434	665
395	435	663
396	436	662
397	436	660
398	437	658
399	438	657
400	438	655
401	439	653
402	440	651
403	440	650
404	441	648
405	442	646
406	442	644
407	443	643
408	443	641
409	444	639
410	444	637
411	445	635
412	446	634
413	446	632
414	447	631
415	448	629
416	448	627
417	449	625
418	450	624
419	450	622
420	451	620
421	452	619
422	452	617
423	453	615
424	454	614
425	454	612
426	455	610
427	455	609
428	456	607
429	457	605
430	457	604
431	458	602
432	458	600
433	459	599
434	460	597
435	460	595
436	461	594
437	461	592
438	462	591
439	463	589
440	463	587
441	464	586
442	464	584
443	465	583
444	466	581
445	466	579
446	467	578
447	468	576
448	468	575
449	469	573
450	469	571
451	470	570
452	471	568
453	471	567
454	472	565
455	473	564
456	473	562
457	474	561
458	474	559
459	475	558
460	476	556
461	476	555
462	477	553
463	478	552
464	478	551
465	479	549
466	480	548
467	480	546
468	481	545
469	482	543
470	482	542
471	483	541
472	484	539
473	485	538
474	485	536
475	486	535
476	487	534
477	487	532
478	488	531
479	489	529
480	489	528
481	490	527
482	491	526
483	492	524
484	492	523
485	493	522
486	494	520
487	495	519
488	495	518
489	496	516
490	497	515
491	497	513
492	498	512
493	499	511
494	499	509
495	500	508
496	500	507
497	501	505
498	502	504
499	502	502
500	503	501
501	504	500
502	504	498
503	505	497
504	506	496
505	506	494
506	507	493
507	508	492
508	508	490
509	509	489
510	509	488
511	510	486
512	511	485
513	511	484
514	512	482
515	513	481
516	513	480
517	514	478
518	515	477
519	515	476
520	516	474
521	517	473
522	517	472
523	518	471
524	519	470
525	520	468
526	520	467
527	521	466
528	522	464
529	523	463
530	523	462
531	524	461
532	524	459
533	525	458
534	526	457
535	526	456
536	527	454
537	528	453
538	529	452
539	529	451
540	530	450
541	531	448
542	531	447
543	532	446
544	533	445
545	533	443
546	534	442
547	535	441
548	536	440
549	536	439
550	537	437
551	537	436
552	538	435
553	539	434
554	540	433
555	543	434
556	545	433
557	546	432
558	546	431
559	549	431
560	549	430
561	550	429
562	551	428
563	552	427
564	553	426
565	555	425
566	556	424
567	557	423
568	558	422
569	558	421
570	559	420
571	561	419
572	562	418
573	563	417
574	563	416
575	564	415
576	565	414
577	567	413
578	568	413
579	568	411
580	569	410
581	572	411
582	573	410
583	574	409
584	575	408
585	576	407
586	577	406
587	579	405
588	580	404
589	581	403
590	582	402
591	583	401
592	584	401
593	585	400
594	586	399
595	587	398
596	588	397
597	589	396
598	590	395
599	591	394
600	592	393
601	593	392
602	593	390
603	594	389
604	595	388
605	595	387
606	596	386
607	597	385
608	598	384
609	598	382
610	599	381
611	600	380
612	601	379
613	602	378
614	603	377
615	604	376
616	605	375
617	606	374
618	607	373
619	608	372
620	609	372
621	610	371
622	611	370
623	612	368
624	613	367
625	613	366
626	614	365
627	615	364
628	615	363
629	616	362
630	617	361
631	618	360
632	619	358
633	620	357
634	620	356
635	621	355
636	622	354
637	623	353
638	624	352
639	624	351
640	625	350
641	626	349
642	627	348
643	627	347
644	628	346
645	629	345
646	630	343
647	631	342
648	632	341
649	632	340
650	633	339
651	634	338
652	635	337
653	635	336
654	636	335
655	637	334
656	638	333
657	638	332
658	639	330
659	640	329
660	640	328
661	641	327
662	642	326
663	642	325
664	643	324
665	644	323
666	645	322
667	645	320
668	646	319
669	646	318
670	647	317
671	648	316
672	649	315
673	649	314
674	650	313
675	651	312
676	651	310
677	652	309
678	652	308
679	653	307
680	654	306
681	655	305
682	655	304
683	656	303
684	656	302
685	657	300
686	658	299
687	658	298
688	659	297
689	660	296
690	660	295
691	661	294
692	662	293
693	662	292
694	663	291
695	664	290
696	664	288
697	665	287
698	666	286
699	666	285
700	667	284
701	668	283
702	668	282
703	669	281
704	670	280
705	670	279
706	671	278
707	672	277
708	673	276
709	673	275
710	674	274
711	674	273
712	675	271
713	676	270
714	676	269
715	677	268
716	678	267
717	678	266
718	679	265
719	680	264
720	680	263
721	681	262
722	682	261
723	682	260
724	683	259
725	683	258
726	684	257
727	685	255
728	685	254
729	686	253
730	686	252
731	687	251
732	688	250
733	688	249
734	689	248
735	689	247
736	690	246
737	691	245
738	691	244
739	692	243
740	693	242
741	693	241
742	694	240
743	695	239
744	695	238
745	696	237
746	696	236
747	697	235
748	698	234
749	699	233
750	699	231
751	700	230
752	700	229
753	701	228
754	702	227
755	702	226
756	703	225
757	703	224
758	704	223
759	705	222
760	705	221
761	706	220
762	707	219
763	707	218
764	708	217
765	709	216
766	709	215
767	710	214
768	711	213
769	711	212
770	712	211
771	713	210
772	713	209
773	714	208
774	714	207
775	715	206
776	715	205
777	716	204
778	717	203
779	717	202
780	718	201
781	719	200
782	719	199
783	720	198
784	721	197
785	721	196
786	722	195
787	723	194
788	723	193
789	724	192
790	725	191
791	725	190
792	726	189
793	727	188
794	727	187
795	728	186
796	728	185
797	729	184
798	730	183
799	730	182
800	731	181
801	732	180
802	732	179
803	733	178
804	733	177
805	734	176
806	735	175
807	736	174
808	736	173
809	737	172
810	737	171
811	738	170
812	738	169
813	739	168
814	740	168
815	740	167
816	741	166
817	741	165
818	742	164
819	743	163
820	743	162
821	744	161
822	744	160
823	745	159
824	746	158
825	746	157
826	747	156
827	748	155
828	748	154
829	749	153
830	750	152
831	750	151
832	751	150
833	751	149
834	752	148
835	753	147
836	753	146
837	754	145
838	755	144
839	755	143
840	756	143
841	757	142
842	757	141
843	758	140
844	758	139
845	759	138
846	760	137
847	760	136
848	761	135
849	762	134
850	762	133
851	763	132
852	764	131
853	765	130
854	765	129
855	766	128
856	767	128
857	767	127
858	768	126
859	768	125
860	769	124
861	770	123
862	770	122
863	771	121
864	772	120
865	772	119
866	773	118
867	773	117
868	774	116
869	775	115
870	775	114
871	776	113
872	777	113
873	777	112
874	778	111
875	779	110
876	780	109
877	780	108
878	781	107
879	782	106
880	783	105
881	783	104
882	784	103
883	785	103
884	785	102
885	786	101
886	787	100
887	787	99
888	788	98
889	788	97
890	789	96
891	790	95
892	790	94
893	791	93
894	792	92
895	793	92
896	793	91
897	794	90
898	794	89
899	795	88
900	796	87
901	796	86
902	797	85
903	797	84
904	798	83
905	799	82
906	799	82
907	800	81
908	801	80
909	801	79
